tweet_id,favorite_count,retweet_count
841680585030541313,24898,7464
841439858740625411,12168,3485
841320156043304961,19118,5253
841314665196081154,15289,4412
841077006473256960,22075,5065
840761248237133825,0,1674
840728873075638272,0,15273
840698636975636481,172,2
840696689258311684,11868,923
840632337062862849,8698,1674
840370681858686976,15888,4344
840268004936019968,18599,5460
839990271299457024,12974,2166
839549326359670784,26516,7404
839290600511926273,0,137
839239871831150596,26206,6218
838952994649550848,19023,3825
838921590096166913,10782,1949
838916489579200512,0,32
838831947270979586,0,10520
838561493054533637,10621,1269
838476387338051585,21753,4538
838201503651401729,0,9603
838150277551247360,1612,318
838085839343206401,136,1
838083903487373313,17087,2975
837820167694528512,33010,7507
837482249356513284,3741,424
837471256429613056,12408,2161
837110210464448512,15568,2261
836989968035819520,12375,2201
836753516572119041,18792,4443
836677758902222849,12263,2129
836648853927522308,0,531
836397794269200385,0,26342
836380477523124226,14359,2867
836260088725786625,20692,4136
836001077879255040,18495,4089
835685285446955009,0,7798
835574547218894849,17283,3458
835536468978302976,0,1617
835309094223372289,0,20079
835297930240217089,15999,2861
835264098648616962,7495,1617
835246439529840640,2048,68
835172783151792128,25429,5527
835152434251116546,21731,2876
834931633769889797,10479,1557
834786237630337024,20855,5309
834574053763584002,13262,2415
834477809192075265,0,10216
834458053273591808,9351,1606
834209720923721728,19982,4553
834167344700198914,15398,3529
834089966724603904,9761,2050
834086379323871233,12699,2119
833863086058651648,13079,2310
833826103416520705,17638,3613
833732339549220864,0,212
833722901757046785,20323,3115
833479644947025920,14475,1962
833124694597443584,19677,4663
832998151111966721,12894,2115
832769181346996225,0,38
832757312314028032,16409,3481
832682457690300417,11551,2806
832645525019123713,2851,513
832636094638288896,15456,2679
832397543355072512,11660,2126
832369877331693569,16706,3067
832273440279240704,11051,2245
832215909146226688,0,5993
832215726631055365,0,8975
832088576586297345,61,2
832040443403784192,0,9229
832032802820481025,17381,4494
831939777352105988,23336,5911
831926988323639298,325,34
831911600680497154,26834,6259
831670449226514432,10158,1745
831650051525054464,6933,1853
831552930092285952,8746,2250
831322785565769729,9047,1496
831315979191906304,6363,1078
831309418084069378,11466,2380
831262627380748289,11591,1974
830956169170665475,7781,1435
830583320585068544,64973,16133
830173239259324417,0,5467
830097400375152640,9518,2824
829878982036299777,0,4817
829861396166877184,11948,1868
829501995190984704,30936,10216
829449946868879360,10201,1937
829141528400556032,23758,7087
829011960981237760,52015,15815
828801551087042563,0,3305
828770345708580865,24947,5652
828708714936930305,35599,10813
828650029636317184,9287,1292
828409743546925057,6205,1118
828408677031882754,7508,1242
828381636999917570,12290,2151
828376505180889089,7216,1034
828372645993398273,12282,2828
828361771580813312,2132,172
828046555563323392,11452,2760
828011680017821696,10111,2087
827933404142436356,19566,5070
827653905312006145,15134,2920
827600520311402496,7295,906
827324948884643840,15464,2929
827199976799354881,10330,2150
826958653328592898,21041,4817
826848821049180160,35337,9799
826615380357632002,0,3854
826598799820865537,5016,241
826598365270007810,9772,2274
826476773533745153,17973,4056
826240494070030336,12968,2527
826204788643753985,4761,886
826115272272650244,15281,3003
825876512159186944,10244,1799
825829644528148480,12464,2425
825535076884762624,55735,17045
825147591692263424,17868,4388
825120256414846976,0,1210
825026590719483904,6126,1210
824796380199809024,0,5344
824775126675836928,14592,3393
824663926340194305,10293,1710
824325613288833024,11561,10281
824297048279236611,14722,3732
824025158776213504,4725,581
823939628516474880,10412,2635
823719002937630720,0,10823
823699002998870016,13663,2441
823581115634085888,12734,2541
823333489516937216,689,22
823322678127919110,15393,3883
823269594223824897,0,9602
822975315408461824,16959,3341
822872901745569793,128669,41843
822859134160621569,12950,2201
822647212903690241,0,6204
822610361945911296,14492,2849
822489057087389700,17745,6204
822462944365645825,27302,13810
822244816520155136,34253,9602
822163064745328640,0,4600
821886076407029760,11079,2238
821813639212650496,0,3274
821765923262631936,8216,1615
821522889702862852,7864,1702
821421320206483457,0,5398
821407182352777218,11495,4185
821153421864615936,248,10
821149554670182400,8434,1897
821107785811234820,9399,2066
821044531881721856,12406,2212
820837357901512704,0,6517
820749716845686786,30913,9603
820690176645140481,11988,3139
820494788566847489,0,548
820446719150292993,0,2490
820314633777061888,3285,548
820078625395449857,19392,6111
820013781606658049,0,1138
819952236453363712,5214,1138
819924195358416896,12673,4745
819711362133872643,13116,3024
819588359383371776,9470,1942
819347104292290561,7086,1173
819238181065359361,2212,398
819227688460238848,22597,6517
819015337530290176,0,36048
819015331746349057,0,18552
819006400881917954,44488,18552
819004803107983360,85449,36048
818646164899774465,0,20350
818627210458333184,21992,7352
818614493328580609,9644,2462
818588835076603904,0,5955
818536468981415936,10646,2384
818307523543449600,0,7838
818259473185828864,10796,2191
818145370475810820,12044,2481
817908911860748288,4763,774
817827839487737858,50543,26342
817777686764523521,10551,2609
817536400337801217,11548,2869
817502432452313088,0,3296
817423860136083457,33113,14249
817415592588222464,5494,924
817181837579653120,0,8216
817171292965273600,8604,1970
817120970343411712,11979,2524
817056546584727552,8437,1597
816829038950027264,0,4591
816816676327063552,9812,1975
816697700272001025,9601,2136
816450570814898180,29805,7838
816336735214911488,8444,1896
816091915477250048,8768,2076
816062466425819140,0,987
816014286006976512,0,5117
815990720817401858,4853,987
815966073409433600,21963,8216
815745968457060357,0,4028
815736392542261248,9672,2211
815639385530101762,8074,1605
815390420867969024,10158,3717
814986499976527872,7526,1243
814638523311648768,11085,2637
814578408554463233,0,5690
814530161257443328,8489,1821
814153002265309185,28235,8456
813944609378369540,0,3111
813910438903693312,9167,1815
813812741911748608,35857,13635
813800681631023104,8189,1712
813217897535406080,18314,7129
813202720496779264,9085,1776
813187593374461952,19526,4239
813172488309972993,9117,1889
813157409116065792,7633,2149
813142292504645637,8358,2335
813130366689148928,4420,434
813127251579564032,11604,3039
813112105746448384,10128,2669
813096984823349248,10399,3541
813081950185472002,9745,2724
813066809284972545,7800,1904
813051746834595840,20603,7188
812781120811126785,7418,1859
812709060537683968,6509,1409
812503143955202048,5959,1191
812466873996607488,7840,1881
812372279581671427,13435,3582
811985624773361665,7147,1370
811744202451197953,7414,1552
811647686436880384,5520,721
811627233043480576,12525,2992
811386762094317568,20584,6242
810984652412424192,5226,1393
810896069567610880,8862,1721
810657578271330305,10786,2570
810284430598270976,34621,10983
810254108431155201,14479,3305
809920764300447744,15319,3854
809808892968534016,0,4794
809448704142938112,6840,1429
809220051211603969,19595,5467
809084759137812480,13020,3452
808838249661788160,9971,2976
808733504066486276,7774,2113
808501579447930884,11129,2552
808344865868283904,41802,20350
808134635716833280,0,5783
808106460588765185,8675,2159
808001312164028416,12329,3463
807621403335917568,14376,3537
807106840509214720,116174,54106
807059379405148160,0,7169
807010152071229440,12922,3787
806629075125202948,73377,33864
806620845233815552,0,5412
806576416489959424,4817,1917
806542213899489280,10062,2308
806242860592926720,0,11376
806219024703037440,6362,1173
805958939288408065,0,5252
805932879469572096,8179,1885
805826884734976000,6473,1782
805823200554876929,0,7830
805520635690676224,5669,1623
805487436403003392,8678,2476
805207613751304193,7723,1687
804738756058218496,13481,3744
804475857670639616,6051,1972
804413760345620481,0,3162
804026241225523202,43746,15774
803773340896923648,9910,2687
803692223237865472,0,7292
803638050916102144,10790,4065
803380650405482500,7648,1842
803321560782307329,0,5193
803276597545603072,9892,2406
802952499103731712,8901,1956
802624713319034886,0,2845
802600418706604034,7007,1425
802572683846291456,8824,2462
802323869084381190,15942,5724
802265048156610565,6837,1347
802239329049477120,8963,2572
802185808107208704,0,269
801958328846974976,7653,1680
801854953262350336,1768,234
801538201127157760,8116,2030
801285448605831168,5951,804
801167903437357056,24074,5783
801127390143516673,0,3877
801115127852503040,7963,2063
800859414831898624,677,96
800855607700029440,0,1575
800751577355128832,10433,2744
800513324630806528,12965,2942
800459316964663297,9372,2135
800443802682937345,0,4218
800388270626521089,11007,2757
800188575492947969,0,3851
800141422401830912,15053,2490
800018252395122689,27919,12866
799774291445383169,0,4572
799757965289017345,8273,2114
799422933579902976,7951,1888
799308762079035393,0,5349
799297110730567681,9729,2691
799063482566066176,7984,2430
798933969379225600,12896,4368
798925684722855936,7415,1415
798705661114773508,0,6512
798701998996647937,0,7609
798697898615730177,0,6398
798694562394996736,0,4856
798686750113755136,0,2280
798682547630837760,0,4655
798673117451325440,0,5463
798665375516884993,0,3841
798644042770751489,0,1810
798628517273620480,0,1939
798585098161549313,0,5555
798576900688019456,0,5729
798340744599797760,0,3263
798209839306514432,10269,2504
797971864723324932,11417,3043
797545162159308800,14354,4791
797236660651966464,19642,6429
797165961484890113,223,26
796904159865868288,0,8742
796865951799083009,7567,1887
796759840936919040,11625,2975
796563435802726400,0,7078
796484825502875648,7459,1722
796387464403357696,10848,4067
796177847564038144,0,13992
796149749086875649,31787,13992
796125600683540480,4899,1759
796116448414461957,8957,2354
796080075804475393,8343,2258
796031486298386433,10652,3651
795464331001561088,48753,23062
795400264262053889,9880,2801
795076730285391872,15964,5344
794983741416415232,0,3302
794926597468000259,10075,2268
794355576146903043,0,10074
794332329137291264,9468,2629
794205286408003585,9112,3257
793962221541933056,16587,4794
793845145112371200,9095,1818
793614319594401792,0,3072
